Pakistan,Islamabad,1/1/1995,46.2
Pakistan,Islamabad,1/2/1995,49.2
Pakistan,Islamabad,1/3/1995,48.8
Pakistan,Islamabad,1/4/1995,49.2
Pakistan,Islamabad,1/5/1995,48.6
Pakistan,Islamabad,1/6/1995,49.2
Pakistan,Islamabad,1/7/1995,49.8
Pakistan,Islamabad,1/8/1995,47.2
Pakistan,Islamabad,1/9/1995,45.9
Pakistan,Islamabad,1/10/1995,49.9
Pakistan,Islamabad,1/11/1995,47
Pakistan,Islamabad,1/12/1995,48.1
Pakistan,Islamabad,1/13/1995,52.4
Pakistan,Islamabad,1/14/1995,49.4
Pakistan,Islamabad,1/15/1995,46.2
Pakistan,Islamabad,1/16/1995,46.1
Pakistan,Islamabad,1/17/1995,46.3
Pakistan,Islamabad,1/18/1995,50.9
Pakistan,Islamabad,1/19/1995,53.1
Pakistan,Islamabad,1/20/1995,49.6
Pakistan,Islamabad,1/21/1995,47.3
Pakistan,Islamabad,1/22/1995,47.9
Pakistan,Islamabad,1/23/1995,48.1
Pakistan,Islamabad,1/24/1995,49.3
Pakistan,Islamabad,1/25/1995,50.6
Pakistan,Islamabad,1/26/1995,51.2
Pakistan,Islamabad,1/27/1995,50.7
Pakistan,Islamabad,1/28/1995,51.6
Pakistan,Islamabad,1/29/1995,53.1
Pakistan,Islamabad,1/30/1995,54.8
Pakistan,Islamabad,1/31/1995,49.7
Pakistan,Islamabad,2/1/1995,51.6
Pakistan,Islamabad,2/2/1995,54
Pakistan,Islamabad,2/3/1995,55.2
Pakistan,Islamabad,2/4/1995,52.7
Pakistan,Islamabad,2/5/1995,52.5
Pakistan,Islamabad,2/6/1995,54.8
Pakistan,Islamabad,2/7/1995,55.6
Pakistan,Islamabad,2/8/1995,57.1
Pakistan,Islamabad,2/9/1995,58.4
Pakistan,Islamabad,2/10/1995,58.9
Pakistan,Islamabad,2/11/1995,53.9
Pakistan,Islamabad,2/12/1995,57.3
Pakistan,Islamabad,2/13/1995,58.5
Pakistan,Islamabad,2/14/1995,52.4
Pakistan,Islamabad,2/15/1995,56.6
Pakistan,Islamabad,2/16/1995,55.7
Pakistan,Islamabad,2/17/1995,53
Pakistan,Islamabad,2/18/1995,48.1
Pakistan,Islamabad,2/19/1995,53.6
Pakistan,Islamabad,2/20/1995,52.4
Pakistan,Islamabad,2/21/1995,50.3
